"No.","Time","Source","Destination","Protocol","Length","Info"
"169","10.817453305","172.217.10.238","192.168.1.118","TCP","4320","80  >  46139 [ACK] Seq=276201 Ack=1 Win=240 Len=4254 TSval=2579506128 TSecr=3204690"
"512","11.152047010","172.217.10.238","192.168.1.118","TCP","4320","80  >  46139 [ACK] Seq=1151107 Ack=1 Win=240 Len=4254 TSval=2579506466 TSecr=3205070"
"832","11.300457508","172.217.10.238","192.168.1.118","TCP","4320","80  >  46139 [ACK] Seq=1857271 Ack=1 Win=240 Len=4254 TSval=2579506622 TSecr=3205204"
"854","11.311525414","172.217.10.238","192.168.1.118","TCP","2902","80  >  46139 [ACK] Seq=1928171 Ack=1 Win=240 Len=2836 TSval=2579506636 TSecr=3205204"
"1092","11.476552671","172.217.10.238","192.168.1.118","TCP","1484","80  >  46139 [ACK] Seq=2625827 Ack=1 Win=240 Len=1418 TSval=2579506792 TSecr=3205379"
"1231","11.641149174","172.217.10.238","192.168.1.118","TCP","1484","80  >  46139 [ACK] Seq=3055481 Ack=1 Win=240 Len=1418 TSval=2579506901 TSecr=3205495"
"1808","12.302403842","172.217.10.238","192.168.1.118","TCP","2902","80  >  46139 [ACK] Seq=4547217 Ack=1 Win=240 Len=2836 TSval=2579507462 TSecr=3206055"
"2317","12.790846978","172.217.10.238","192.168.1.118","TCP","2902","80  >  46139 [ACK] Seq=6087165 Ack=1 Win=240 Len=2836 TSval=2579508106 TSecr=3206679"
"2582","12.987329256","172.217.10.238","192.168.1.118","TCP","1484","80  >  46139 [ACK] Seq=6536671 Ack=1 Win=240 Len=1418 TSval=2579508248 TSecr=3206830"
"2921","13.239758075","172.217.10.238","192.168.1.118","TCP","5738","80  >  46139 [ACK] Seq=7275449 Ack=1 Win=240 Len=5672 TSval=2579508557 TSecr=3207132"
"3832","14.058843365","172.217.10.238","192.168.1.118","TCP","2902","80  >  46139 [ACK] Seq=9593879 Ack=1 Win=240 Len=2836 TSval=2579509360 TSecr=3207939"
"4466","14.614564639","172.217.10.238","192.168.1.118","TCP","5738","80  >  46139 [ACK] Seq=10976429 Ack=1 Win=240 Len=5672 TSval=2579509934 TSecr=3208519"
"4532","14.645316959","172.217.10.238","192.168.1.118","TCP","1484","80  >  46139 [ACK] Seq=11072853 Ack=1 Win=240 Len=1418 TSval=2579509961 TSecr=3208568"
"4852","14.910247838","172.217.10.238","192.168.1.118","TCP","1484","80  >  46139 [ACK] Seq=11908055 Ack=1 Win=240 Len=1418 TSval=2579510212 TSecr=3208776"
"5418","15.407809912","172.217.10.238","192.168.1.118","TCP","2902","80  >  46139 [ACK] Seq=13043873 Ack=1 Win=240 Len=2836 TSval=2579510671 TSecr=3209265"
